osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,343703676,10.3377268,76.221943,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,1545193206,23.2395798,69.7914933,business,,,,,,,,,,industrial-types.osm.pbf
node,2527030591,13.2386523,80.098155,,,tower,,,,,,,,industrial-types.osm.pbf
node,2556368813,10.7120019,79.5161863,sawmill,,,,,,,,,,industrial-types.osm.pbf
node,3358197637,12.9706377,74.8407819,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,4292241805,10.555253,76.2266445,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,4420664567,10.7613639,78.6902604,factory,,,,,,,,,,industrial-types.osm.pbf
node,4433633387,10.8031372,78.7122673,factory,,,,,,,,,,industrial-types.osm.pbf
node,4433637489,10.8085633,78.7124738,factory,,,,,,,,,,industrial-types.osm.pbf
node,4442170450,10.7463609,78.8584785,factory,,,,,,,,,,industrial-types.osm.pbf
node,4442170455,10.7391233,78.8564159,factory,,,,,,,,,,industrial-types.osm.pbf
node,4448662464,10.7847921,78.8445936,factory,,,,,,,,,,industrial-types.osm.pbf
node,4526214441,9.53779,76.7591343,mill,,,works,,,,,,,industrial-types.osm.pbf
node,4675421150,10.1636011,76.2084233,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,5275111855,11.4192079,75.8311035,sawmill,,,,,,,,,,industrial-types.osm.pbf
node,5275245898,11.7414867,76.1194286,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,5313392619,10.7939768,76.6632971,slaughterhouse,industrial,,,,,,,,Chicken shop,industrial-types.osm.pbf
node,5451568408,17.0585297,82.0917267,grinding_mill,,,,,,,,,,industrial-types.osm.pbf
node,5574993087,11.9348568,79.8238168,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,5635123627,11.9472542,79.8294671,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,5641838472,25.6795033,89.8539886,mine,quarry,,,,,,,,,industrial-types.osm.pbf
node,5907718304,10.5863168,76.1595775,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,5907887067,10.5617951,76.2436733,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,6176696739,13.0288262,77.6312368,warehouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,6341705965,17.0927727,81.6716552,brickyard,,,,,,,,,,industrial-types.osm.pbf
node,6484160402,11.2882542,75.8068335,oil_mill,,,,,,,,,,industrial-types.osm.pbf
node,6801919194,19.1254283,72.9194808,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,6804290504,19.1267577,72.9187415,slaughterhouse,industrial,,,,,,,,fast food restaurant,industrial-types.osm.pbf
node,6804290536,19.1272804,72.9192135,slaughterhouse,industrial,,,,,,,,"meat shop- chicken, mutton",industrial-types.osm.pbf
node,7027716898,17.4500355,78.3919617,brickyard,,,,,,,,,,industrial-types.osm.pbf
node,7111459430,10.618697,76.1144217,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,7196522932,9.6762238,76.5995356,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,7227157705,10.1642606,76.4101367,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
