latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.55757,79.11909,297.19,0.68,0.74,2024-01-01,1929,N,VIIRS,n,2,277.24,2.21,N,0
30.55818,79.12016,304.99,0.68,0.74,2024-01-01,1929,N,VIIRS,n,2,277.27,1.98,N,0
30.04427,80.5822,309.76,0.56,0.68,2024-01-01,1930,N,VIIRS,n,2,277.59,1.66,N,0
27.37575,95.0869,300.61,0.4,0.37,2024-01-01,1930,N,VIIRS,n,2,282.94,0.53,N,2
26.79387,94.68798,295.28,0.4,0.37,2024-01-01,1930,N,VIIRS,n,2,284.87,0.49,N,0
26.05955,93.89175,296.87,0.39,0.36,2024-01-01,1930,N,VIIRS,n,2,281.96,0.47,N,0
26.188,91.80617,302.4,0.39,0.36,2024-01-01,1930,N,VIIRS,n,2,284.88,0.17,N,0
26.75849,83.19875,303.35,0.36,0.57,2024-01-01,1930,N,VIIRS,n,2,286.28,0.92,N,2
26.75995,83.19978,303.69,0.36,0.57,2024-01-01,1930,N,VIIRS,n,2,286.55,1.22,N,2
29.43268,79.53929,295.33,0.63,0.72,2024-01-01,1930,N,VIIRS,n,2,278.72,1.32,N,0
29.43489,79.53733,297.8,0.63,0.72,2024-01-01,1930,N,VIIRS,n,2,278.9,0.8,N,0
29.68601,79.74451,306.23,0.62,0.71,2024-01-01,1930,N,VIIRS,n,2,279.53,1.07,N,0
30.01937,80.56772,308.95,0.56,0.69,2024-01-01,1930,N,VIIRS,n,2,278.68,1.4,N,0
30.01952,80.56486,298.55,0.56,0.69,2024-01-01,1930,N,VIIRS,n,2,278.39,1.4,N,0
30.02569,80.56969,300.15,0.56,0.69,2024-01-01,1930,N,VIIRS,n,2,278.64,1.4,N,0
30.02584,80.56686,298.49,0.56,0.69,2024-01-01,1930,N,VIIRS,n,2,278.04,1.4,N,0
30.02632,80.55814,295.96,0.56,0.69,2024-01-01,1930,N,VIIRS,n,2,275.53,1.76,N,0
